TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,Year,Month,Day,DayOfWeek,WeekOfYear,DayName,Revenue,IsCancellation,IsBlackFridayPeriod,IsChristmasPeriod,Last_Purchase_Date,Days_Since_Last_Purchase,Purchase_Gap,Avg_Purchase_Frequency,Total_Spent_Before
C581484,2019-12-09,23843,Paper Craft Little Birdie,6.19,-80995,16446.0,United Kingdom,2019,12,9,0,50,Mon,-501359.05000000005,True,0,0,2019-12-09,0.0,0.0,-68.33333333333333,1002718.1000000001
C581490,2019-12-09,22178,Victorian Glass Hanging T-Light,6.19,-12,14397.0,United Kingdom,2019,12,9,0,50,Mon,-74.28,True,0,0,,,,-2.265957446808511,0.0
C581490,2019-12-09,23144,Zinc T-Light Holder Stars Small,6.04,-11,14397.0,United Kingdom,2019,12,9,0,50,Mon,-66.44,True,0,0,2019-12-09,0.0,0.0,-2.265957446808511,-74.28
C581568,2019-12-09,21258,Victorian Sewing Box Large,6.19,-5,15311.0,United Kingdom,2019,12,9,0,50,Mon,-30.950000000000003,True,0,0,2019-12-09,0.0,0.0,-0.15224489795918367,1671.3
C581569,2019-12-09,84978,Hanging Heart Jar T-Light Holder,6.19,-1,17315.0,United Kingdom,2019,12,9,0,50,Mon,-6.19,True,0,0,,,,-0.7422037422037422,0.0
C581569,2019-12-09,20979,36 Pencils Tube Red Retrospot,6.19,-5,17315.0,United Kingdom,2019,12,9,0,50,Mon,-30.950000000000003,True,0,0,2019-12-09,0.0,0.0,-0.7422037422037422,-6.189999999999998
C581228,2019-12-08,22423,Regency Cakestand 3 Tier,6.19,-6,16019.0,United Kingdom,2019,12,8,6,49,Sun,-37.14,True,0,0,,,,-2.2546583850931676,0.0
C581228,2019-12-08,23210,White Rocking Horse Hand Painted,6.19,-12,16019.0,United Kingdom,2019,12,8,6,49,Sun,-74.28,True,0,0,2019-12-08,0.0,0.0,-2.2546583850931676,-37.14
C581228,2019-12-08,82494L,Wooden Frame Antique White,6.19,-6,16019.0,United Kingdom,2019,12,8,6,49,Sun,-37.14,True,0,0,2019-12-08,0.0,0.0,-2.2546583850931676,-111.42
C581228,2019-12-08,22781,Gumball Magazine Rack,6.19,-24,16019.0,United Kingdom,2019,12,8,6,49,Sun,-148.56,True,0,0,2019-12-08,0.0,0.0,-2.2546583850931676,-148.56
C581228,2019-12-08,22467,Gumball Coat Rack,6.19,-36,16019.0,United Kingdom,2019,12,8,6,49,Sun,-222.84,True,0,0,2019-12-08,0.0,0.0,-2.2546583850931676,-297.12
C581229,2019-12-08,84828,Jungle Popsicles Ice Lolly Moulds,6.19,-24,12558.0,USA,2019,12,8,6,49,Sun,-148.56,True,0,0,,,,-0.2857142857142857,0.0
C581229,2019-12-08,79191C,Retro Plastic Elephant Tray,6.19,-24,12558.0,USA,2019,12,8,6,49,Sun,-148.56,True,0,0,2019-12-08,0.0,0.0,-0.2857142857142857,-148.56
